IATA_Code,Longitude,Latitude
06A,32.4605722,-85.6800278
06C,41.9893408,-88.1012428
06N,41.431912,-74.3915611
09J,31.0744722,-81.4277778
0A9,36.3712222,-82.1734167
0G6,41.4673056,-84.5067778
0G7,42.8835647,-76.7812318
0P2,39.7948244,-76.6471914
0S9,48.0538086,-122.8106436
0W3,39.5668378,-76.2024028
10C,42.4028889,-88.3751111
14J,31.41,-86.090278
17G,40.7815556,-82.9748056
19A,34.1758638,-83.5615972
1A3,35.0158056,-84.3468333
1B9,42.0001331,-71.1967714
1C9,54.013333333333300,-124.76833333333300
1CS,41.6959744,-88.1292306
1G3,41.1513889,-81.4151111
1G4,35.899904,-113.815674
1H0,38.726667,-90.508333
1H2,39.07,-88.534
1N1,35.0946111,-106.1645556
1OH,40.5553253,-84.3866186
1RL,48.9797222,-123.0788889
1S5,46.3270833,-119.9703611
1V0,36.8082903,-107.6526139
22I,39.328125,-82.4418217
24C,42.95392,-85.3439058
24J,30.300125,-83.0246944
24N,36.828535,-106.8841914
25D,45.2477456,-92.9943853
26A,33.2841972,-85.8089653
29D,41.1460278,-80.16775
2A0,35.48625,-84.9310833
2B2,42.7953611,-70.8394444
2G2,40.3602179,-80.7008742
2G9,40.0388708,-79.0149951
2IS,26.4411,-81.0306
2J9,30.5978708,-84.557425
2RR,27.4676,-81.1224
36U,40.4818056,-111.4288056
38W,48.9558961,-122.4581183
3D2,45.1354167,-87.1879444
3G3,41.0031572,-81.7564401
3G4,40.9029722,-82.2556389
3J1,32.4934167,-80.99175
3K3,37.9985831,-101.7476078
3M0,36.3490556,-92.5558056
3N6,40.3298867,-74.3467869
3O8,36.2481111,-120.2384722
3V5,40.588336,-105.041674
3W2,41.3521,-82.497
40J,30.0692778,-83.5805833
41A,32.515,-85.876111
41N,41.2111675,-80.9692572
47A,34.3122175,-84.4221556
49A,34.6282222,-84.5265833
49X,34.528889,-114.431971
4A2,60.866667,-162.273056
4A4,34.0186944,-85.1464722
4A9,34.4736944,-85.7213889
4B8,41.6893333,-72.8646944
4G0,40.4526389,-79.7749167
4G2,42.7008925,-78.9147569
4G4,40.9617953,-80.6773264
4I7,39.6335556,-86.8138056
4R5,46.7886667,-90.7587222
54J,30.7311111,-86.1537778
55J,30.6118333,-81.4611944
55S,46.3625,-121.4067
58J,34.14,-79.92
5BL,59.6415556,-151.5211278
5K2,38.4514722,-101.7500833
5V5,36.6976908,-108.7009692
5Z1,58.2988889,-134.4077778
5Z5,63.541667,-150.993889
5Z9,58.554722,-155.777217
60J,33.9085056,-78.4366722
6A2,33.2269722,-84.2749444
6S2,43.9828168,-124.1113687
6S9,48.3457778,-120.7208056
6Y1,45.7662977,-84.5038139
6Y8,45.721111,-85.520278
6Y9,46.5086528,-88.7058472
70J,30.8879767,-84.1547353
70N,41.3473569,-75.4158972
71J,31.431944,-85.620556
79J,31.308333,-86.392222
7A4,42.4664444,-90.1693889
7D9,41.7778322,-80.9039797
7N7,39.7355633,-75.3977211
8A1,34.4017219,-86.2657787
8A7,35.914915,-80.4568064
8M8,44.8065278,-84.2761944
93C,43.2833575,-90.2982819
99N,33.3045278,-81.1084167
9A1,33.6323083,-83.8474472
9A5,34.6884792,-85.2903319
9G1,40.6035463,-79.8261189
A09,34.8881667,-114.6166389
A20,35.0056389,-114.5650278
AAA,-17.35260009765630,-145.50999450683600
AAC,31.073299408,33.8358001709
AAD,6.095833,46.6375
AAE,36.822201,7.809174
AAF,29.72750092,-85.02749634
AAH,50.823055267334000,6.186388969421390
AAJ,3.898611,-55.577778
AAK,0.1852779984474180,173.63699340820300
AAL,57.0927589138,9.84924316406
AAM,-24.818099975585900,31.544599533081100
AAN,24.261699676513700,55.60919952392580
AAO,9.430225372314450,-64.4707260131836
AAP,29.722499847400000,-95.58830261230000
AAQ,45.002101898193,37.347301483154
AAR,56.2999992371,10.619000434900000
AAT,47.7498855591,88.08580780030000
AAU,-13.505,-172.627778
AAV,6.366819858551030,124.7509994506840
AAX,-19.563199996948,-46.960399627686
AAY,16.191699981689500,52.17499923706060
AAZ,14.8656,-91.501999
ABA,53.7400016784668,91.38500213623050
ABB,6.204167,6.665278
ABC,38.9485015869,-1.8635200262100000
ABD,30.371099472,48.2282981873
ABE,40.652099609375,-75.44080352783200
ABF,1.798609972000120,173.04100036621100
ABH,-23.646099,146.584
ABI,32.4113006592,-99.68190002440000
ABJ,5.261390209198000,-3.9262900352478000
ABK,6.734,44.252998
ABL,67.1063,-157.856989
ABM,-10.9508,142.459
ABN,5.512720108032230,-54.05009841918950
ABQ,35.040199,-106.609001
ABR,45.449100494384800,-98.42179870605470
